company_number,company_name,organisation_type,organisation_code,registration_date,foundation_date,industry_code,industry_description,employees,website,email,phone,street,postal_code,city,municipality,country,country_code,bankrupt,under_liquidation,source,source_url,evidence_company_number,retrieved_at
810363142,BJØRNSTJERNE BJØRNSONSGATE AS,Aksjeselskap,AS,1995-02-19,1986-01-02,68.200,Utleie av egen eller leid fast eiendom,,,,32 21 03 71,"c/o Front Real Estate AS, Fridtjof Nansens plass 4",0160,OSLO,OSLO,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810363142,810363142,2026-09-18T10:30:27.941208+00:00
810392312,METALLCO AS,Aksjeselskap,AS,1995-02-19,1967-01-10,38.210,Materialgjenvinning,49,,post@metallco.com,23 14 26 10,Strømsveien 287,0668,OSLO,OSLO,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810392312,810392312,2026-09-18T10:30:27.941211+00:00
810393572,HALWA AS,Aksjeselskap,AS,1995-02-19,1975-12-12,68.200,Utleie av egen eller leid fast eiendom,,,,37040086,Bergemoveien 7,4886,GRIMSTAD,GRIMSTAD,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810393572,810393572,2026-09-18T10:30:27.941214+00:00
810412402,STOREBRAND TILLERTORGET AS,Aksjeselskap,AS,1995-02-19,1977-08-20,68.200,Utleie av egen eller leid fast eiendom,,www.storebrand.no/eiendom,,71 65 75 00,Svartvassvegen 2,6650,SURNADAL,SURNADAL,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810412402,810412402,2026-09-18T10:30:27.941216+00:00
810431172,AS SCAN-WOOD,Aksjeselskap,AS,1995-02-19,1976-05-14,43.120,Grunnarbeid,,,,,Repsetvegen 155,2230,SKOTTERUD,EIDSKOG,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810431172,810431172,2026-09-18T10:30:27.941219+00:00
810432322,BAUGE EIENDOM AS,Aksjeselskap,AS,1995-02-19,1974-12-06,16.250,Produksjon av dører og vinduer i tre,,,,,Nyheimvegen 27,6905,FLORØ,KINN,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810432322,810432322,2026-09-18T10:30:27.941222+00:00
810438452,BECKMANN AS,Aksjeselskap,AS,1995-02-19,1946-09-25,46.490,Engroshandel med andre husholdningsvarer,28,,firmapost@beckmann.no,38 12 10 80,Buråsen 32,4636,KRISTIANSAND S,KRISTIANSAND,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810438452,810438452,2026-09-18T10:30:27.941224+00:00
810441682,FIDUCIA NORWAY AS,Aksjeselskap,AS,1995-02-19,1958-07-31,68.320,Eiendomsforvaltning på oppdrag,,,,35552277,"c/o Revisjonsselskapet AS, Nensetvegen 39",3736,SKIEN,SKIEN,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810441682,810441682,2026-09-18T10:30:27.941230+00:00
810463902,E BERENTSEN AS,Aksjeselskap,AS,1995-02-19,1944-12-14,68.200,Utleie av egen eller leid fast eiendom,,,,,Kontinentalvegen 22,4056,TANANGER,SOLA,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810463902,810463902,2026-09-18T10:30:27.941233+00:00
810483822,FRIHOLMEN AS,Aksjeselskap,AS,1995-02-19,1925-01-22,68.200,Utleie av egen eller leid fast eiendom,,,,92 02 64 44,Tollbodgaten 1,4836,ARENDAL,ARENDAL,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810483822,810483822,2026-09-18T10:30:27.941236+00:00
810547472,SAFEROAD B. BERNTSEN AS,Aksjeselskap,AS,1995-03-12,1940-02-29,25.110,Produksjon av metallkonstruksjoner og deler,34,www.bberntsen.no,,32 10 97 70,Hensmoveien 43,3516,HØNEFOSS,RINGERIKE,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810547472,810547472,2026-09-18T10:30:27.941239+00:00
810556722,B & G EIENDOM AS,Aksjeselskap,AS,1995-02-19,1977-04-01,68.200,Utleie av egen eller leid fast eiendom,,,,,"c/o Bertelsen & Garpestad AS, Hovlandsveien 70",4374,EGERSUND,EIGERSUND,Norge,NO,True,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810556722,810556722,2026-09-18T10:30:27.941241+00:00
810574232,AS TROMSØ AUTOMOBILCOMPANI - AS TACO,Aksjeselskap,AS,1995-02-19,1939-07-05,68.200,Utleie av egen eller leid fast eiendom,11,,,94 16 66 66,Kirkegata 1,9008,TROMSØ,TROMSØ,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810574232,810574232,2026-09-18T10:30:27.941256+00:00
810582332,SOM EIENDOM AS,Aksjeselskap,AS,1995-02-19,1957-03-08,68.200,Utleie av egen eller leid fast eiendom,,,,,Hallsgate 5,3912,PORSGRUNN,PORSGRUNN,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810582332,810582332,2026-09-18T10:30:27.941259+00:00
810584742,SAUDA AUTO AS,Aksjeselskap,AS,1995-02-19,1967-02-20,95.310,Reparasjon og vedlikehold av motorvogner,,,,,Birkelandsvegen 106,4200,SAUDA,SAUDA,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810584742,810584742,2026-09-18T10:30:27.941262+00:00
810684402,BLOKKEN SKIPSVERFT EIENDOM AS,Aksjeselskap,AS,1995-03-12,1953-04-10,68.200,Utleie av egen eller leid fast eiendom,,www.blokken.no,,76124500,Blokken,8406,SORTLAND,SORTLAND,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810684402,810684402,2026-09-18T10:30:27.941320+00:00
810703342,OCTOPUS EIENDOM AS,Aksjeselskap,AS,1995-02-19,1977-12-20,68.200,Utleie av egen eller leid fast eiendom,,,,22 12 87 00,"c/o Sandvoldgruppen AS, Drammensveien 127",0277,OSLO,OSLO,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810703342,810703342,2026-09-18T10:30:27.941323+00:00
810733772,BORGE EIENDOM AS,Aksjeselskap,AS,1995-02-19,1965-01-15,68.200,Utleie av egen eller leid fast eiendom,5,,,33313028,Kilengaten 15,3117,TØNSBERG,TØNSBERG,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810733772,810733772,2026-09-18T10:30:27.941325+00:00
810855762,AS CHR BRUN TORVET,Aksjeselskap,AS,1995-03-12,1929-11-25,68.200,Utleie av egen eller leid fast eiendom,,,,,Torgallmenningen 7,5014,BERGEN,BERGEN,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810855762,810855762,2026-09-18T10:30:27.941328+00:00
810859482,BRUNSTAD AS,Aksjeselskap,AS,1995-03-12,1961-05-10,31.000,Produksjon av møbler,42,,marked@brunstad.no,70 24 60 00,Sykkylvsvegen 415,6230,SYKKYLVEN,SYKKYLVEN,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810859482,810859482,2026-09-18T10:30:27.941332+00:00
810876832,FINN BRYNILDSRUD & SØNNER AS,Aksjeselskap,AS,1995-02-19,1980-01-02,25.530,Bearbeiding av metaller,,www.brynildsrud.com,office@brynildsrud.com,69 25 36 17,Kallumveien 28,1524,MOSS,MOSS,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810876832,810876832,2026-09-18T10:30:27.941334+00:00
810894342,ODVAR BRÅTHEN RØRLEGGERFORRETNING AS,Aksjeselskap,AS,1995-02-19,1970-07-15,43.221,Rørleggerarbeid,,,,62961106,,2100,SKARNES,SØR-ODAL,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810894342,810894342,2026-09-18T10:30:27.941337+00:00
810902612,Bugge & Amundsen AS,Aksjeselskap,AS,1995-02-19,1941-02-25,82.990,Annen forretningsmessig tjenesteyting ikke nevnt annet sted,,,mette@vosas.no,33 32 48 53,"v/ Formue Accounting AS, Gamle Kirkeplass 7",3019,DRAMMEN,DRAMMEN,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810902612,810902612,2026-09-18T10:30:27.941353+00:00
810969652,DDB AS,Aksjeselskap,AS,1995-03-12,1868-02-10,00.000,Uoppgitt,,,,98 70 85 40,Søndre gate 15,7011,TRONDHEIM,TRONDHEIM,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/810969652,810969652,2026-09-18T10:30:27.941357+00:00
811025542,CHEMI TEKNIK AS,Aksjeselskap,AS,1995-03-12,1974-03-06,46.850,Engroshandel med kjemiske produkter,,,,22 65 41 00,Tvetenveien 30,0666,OSLO,OSLO,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811025542,811025542,2026-09-18T10:30:27.941362+00:00
811060402,BIRDIE1 AS,Aksjeselskap,AS,1995-02-19,1958-06-02,47.631,Detaljhandel med sportsvarer,,www.serigrafi.com,ebrynild@online.no,67 14 70 40,Grini Næringspark 3,1361,ØSTERÅS,BÆRUM,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811060402,811060402,2026-09-18T10:30:27.941366+00:00
811102822,HAS INVESTMENT AS,Aksjeselskap,AS,1995-02-19,1965-05-11,68.200,Utleie av egen eller leid fast eiendom,,,,22 14 27 86,Diakonveien 7,0370,OSLO,OSLO,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811102822,811102822,2026-09-18T10:30:27.941369+00:00
811114642,JOHN DAHLE AS,Aksjeselskap,AS,1995-02-19,1976-07-22,68.200,Utleie av egen eller leid fast eiendom,,,,51 64 69 90,Kontinentalvegen 24,4056,TANANGER,SOLA,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811114642,811114642,2026-09-18T10:30:27.941372+00:00
811141402,CARLA STUDIO AS,Aksjeselskap,AS,1995-02-19,1956-05-14,47.710,Detaljhandel med klær,5,,,35552549,Skomværgata 7,3921,PORSGRUNN,PORSGRUNN,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811141402,811141402,2026-09-18T10:30:27.941375+00:00
811162582,AS GISLE GAARD,Aksjeselskap,AS,1995-02-19,1914-11-21,68.200,Utleie av egen eller leid fast eiendom,,,,,Vollenveien 74,1389,HEGGEDAL,ASKER,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811162582,811162582,2026-09-18T10:30:27.941378+00:00
811167452,AS DEN NATIONALE SCENE,Aksjeselskap,AS,1995-03-12,1962-06-29,90.202,Utøvende kunstnerisk virksomhet og underholdningsvirksomhet innenfor scenekunst,184,www.dns.no,dns@dns.no,55 54 97 00,Engen 1,5011,BERGEN,BERGEN,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811167452,811167452,2026-09-18T10:30:27.941380+00:00
811176702,SAS NORGE AS,Aksjeselskap,AS,1995-02-19,1946-07-02,51.100,Lufttransport med passasjerer,,,,64 81 60 50,"Henrik Ibsens vei, Teknisk Base, 2. etasje",2060,GARDERMOEN,ULLENSAKER,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811176702,811176702,2026-09-18T10:30:27.941383+00:00
811235482,ARNE DULSRUD AS,Aksjeselskap,AS,1995-02-19,1980-05-30,47.710,Detaljhandel med klær,,,,,Storgata 101,2390,MOELV,RINGSAKER,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811235482,811235482,2026-09-18T10:30:27.941386+00:00
811251682,DYSTHEDESIGN AS,Aksjeselskap,AS,1995-03-12,1972-05-10,74.110,"Industri-, produkt- og motedesignvirksomhet",,,,67 13 12 10,Brekketunet 23,1349,RYKKINN,BÆRUM,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811251682,811251682,2026-09-18T10:30:27.941389+00:00
811280852,HOVLAND TREVAREFABRIKK AS,Aksjeselskap,AS,1995-02-19,1972-01-11,16.250,Produksjon av dører og vinduer i tre,19,,firmapost@hovlandtrevare.no,90 40 01 50,Jærveien 1250,4375,HELLVIK,EIGERSUND,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811280852,811280852,2026-09-18T10:30:27.941391+00:00
811320862,KLINGVIG AS,Aksjeselskap,AS,1995-02-19,1973-03-06,68.200,Utleie av egen eller leid fast eiendom,,,,,Råholtgutua 12,2070,RÅHOLT,EIDSVOLL,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811320862,811320862,2026-09-18T10:30:27.941394+00:00
811349372,EIVIND EIVINDSON AS,Aksjeselskap,AS,1995-02-19,1976-12-22,68.200,Utleie av egen eller leid fast eiendom,,,,38 15 00 20,Venneslamoen 38,4700,VENNESLA,VENNESLA,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811349372,811349372,2026-09-18T10:30:27.941397+00:00
811410012,PER ELLINGSEN AS,Aksjeselskap,AS,1995-02-19,1979-01-01,68.200,Utleie av egen eller leid fast eiendom,,,,,Postveien 128,4317,SANDNES,SANDNES,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811410012,811410012,2026-09-18T10:30:27.941400+00:00
811413682,ELOPAK ASA,Allmennaksjeselskap,ASA,1995-03-12,1957-02-11,17.120,Produksjon av papir og papp,201,www.elopak.com,elopak@elopak.com,31 27 10 00,Industriveien 30,3430,SPIKKESTAD,ASKER,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811413682,811413682,2026-09-18T10:30:27.941406+00:00
811445312,TRYGVE M ENGEBY AS,Aksjeselskap,AS,1995-02-19,1944-07-21,46.640,Engroshandel med maskiner og utstyr ellers,,,,22 74 00 28,Vestlia 15,1169,OSLO,OSLO,Norge,NO,False,True,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811445312,811445312,2026-09-18T10:30:27.941409+00:00
811451002,TEATERGATEN 16 AS,Aksjeselskap,AS,1995-02-19,1964-03-05,68.320,Eiendomsforvaltning på oppdrag,,,tore.stokke@hotmail.com,,"c/o Tore Stokke, Olav Kyrres gate 6D",0273,OSLO,OSLO,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811451002,811451002,2026-09-18T10:30:27.941412+00:00
811480282,Edv Eriksen AS Stilmøbelverksted,Aksjeselskap,AS,1995-03-12,1935-07-01,31.000,Produksjon av møbler,,,,73 95 10 00,Fossegrenda 44,7038,TRONDHEIM,TRONDHEIM,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811480282,811480282,2026-09-18T10:30:27.941414+00:00
811489972,HARALDSGATEN 168 AS,Aksjeselskap,AS,1995-02-19,1983-09-23,68.200,Utleie av egen eller leid fast eiendom,,,viggo@at-h.no,,Haraldsgata 168,5525,HAUGESUND,HAUGESUND,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811489972,811489972,2026-09-18T10:30:27.941416+00:00
811546402,DELA AS,Aksjeselskap,AS,2013-02-11,2013-01-17,68.110,Kjøp og salg av egen fast eiendom,,,prosjektpartnerlars@gmail.com,,Finnemarka 11,7603,LEVANGER,LEVANGER,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811546402,811546402,2026-09-18T10:30:27.941420+00:00
811546712,LENDING FISKERI AS,Aksjeselskap,AS,2013-02-11,2013-02-06,03.110,Fiske og fangst i sjø,,,linne.lending@enivest.net,57 78 77 52,Trovåg,6928,KOLGROV,SOLUND,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811546712,811546712,2026-09-18T10:30:27.941422+00:00
811546852,SAFEBASE AS,Aksjeselskap,AS,2013-02-11,2013-01-24,62.200,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer,30,www.safebase.no,post@safebase.no,,Havnegata 9,7010,TRONDHEIM,TRONDHEIM,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811546852,811546852,2026-09-18T10:30:27.941425+00:00
811548022,FRØY REDERI AS,Aksjeselskap,AS,2013-02-11,2013-02-06,50.202,Innenriks sjøfart med gods,,,,30 10 11 01,Nordfrøyveien 213,7260,SISTRANDA,FRØYA,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811548022,811548022,2026-09-18T10:30:27.941427+00:00
811548472,EDEFICE AS,Aksjeselskap,AS,2013-02-11,2013-01-17,68.110,Kjøp og salg av egen fast eiendom,,,prosjektpartnerkarl@gmail.com,,Kirkehaug 8,7656,VERDAL,VERDAL,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811548472,811548472,2026-09-18T10:30:27.941430+00:00
811548642,BUSY BUSY BIRD AS,Aksjeselskap,AS,2013-02-11,2013-01-31,70.200,Bedriftsrådgivning og annen administrativ rådgivning,,,,,Bryggerikaien 24,4014,STAVANGER,STAVANGER,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811548642,811548642,2026-09-18T10:30:27.941432+00:00
811548812,RICH BAR AS,Aksjeselskap,AS,2013-02-11,2013-01-29,56.110,Drift av restauranter,,,,,Rolighetsveien 1,1738,BORGENHAUGEN,SARPSBORG,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811548812,811548812,2026-09-18T10:30:27.941435+00:00
811549312,STORE SKO AS,Aksjeselskap,AS,2013-02-11,2013-01-01,47.720,Detaljhandel med skotøy og lærvarer,,www.storesko.no,storesk@online.no,,Rathkes gate 1,0558,OSLO,OSLO,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811549312,811549312,2026-09-18T10:30:27.941438+00:00
811550582,CAMPUS 4 AS,Aksjeselskap,AS,2013-03-05,2013-01-30,68.200,Utleie av egen eller leid fast eiendom,,,,,Industrivegen 34,2069,JESSHEIM,ULLENSAKER,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811550582,811550582,2026-09-18T10:30:27.941440+00:00
811551252,DENTSIGN AS,Aksjeselskap,AS,2013-02-12,2013-02-01,32.500,Produksjon av medisinske og tanntekniske instrumenter og utstyr,,,,,Ovenstadlia 33,3420,LIERSKOGEN,LIER,Norge,NO,False,True,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811551252,811551252,2026-09-18T10:30:27.941442+00:00
811557552,PROHANDEL AS,Aksjeselskap,AS,2013-02-12,2013-01-01,46.620,Engroshandel med maskinverktøy,,,,,Bjønnmyråsen 12,3280,TJODALYNG,LARVIK,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811557552,811557552,2026-09-18T10:30:27.941445+00:00
811563382,AKA TELECOM AS,Aksjeselskap,AS,2013-02-13,2013-02-01,62.200,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer,,www.akatelecom.no,aka@akatelecom.no,,"Bruksenhetsnummer U0101, L. Hofstads veg 3",7021,TRONDHEIM,TRONDHEIM,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811563382,811563382,2026-09-18T10:30:27.941448+00:00
811563722,HAUGLANDSHELLA BYGG AS,Aksjeselskap,AS,2013-02-13,2013-01-29,68.120,Utvikling og salg av byggeprosjekter,,,,,"c/o Rune Pedersen, Staurdalsfjellet 14",5310,HAUGLANDSHELLA,ASKØY,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811563722,811563722,2026-09-18T10:30:27.941451+00:00
811564222,TORGHALLEN BODØ AS,Aksjeselskap,AS,2013-02-13,2013-01-23,68.320,Eiendomsforvaltning på oppdrag,,www.tkeiendom.no,,75 54 01 20,Storgata 8,8006,BODØ,BODØ,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811564222,811564222,2026-09-18T10:30:27.941454+00:00
811565032,BORGEN GRUPPEN AS,Aksjeselskap,AS,2013-02-13,2012-12-24,68.200,Utleie av egen eller leid fast eiendom,,,,,Schwensens gate 7,0170,OSLO,OSLO,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811565032,811565032,2026-09-18T10:30:27.941456+00:00
811572322,SJØKONGEN AS,Aksjeselskap,AS,2013-02-25,2013-02-09,50.202,Innenriks sjøfart med gods,,,bureiser@online.no,,Nyjordsveien 247,6570,SMØLA,SMØLA,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811572322,811572322,2026-09-18T10:30:27.941459+00:00
811573272,WAL BYGG OG EIENDOM AS,Aksjeselskap,AS,2013-07-13,2013-06-19,68.120,Utvikling og salg av byggeprosjekter,,walbe.no,post@walbe.no,,Østre Aker vei 17,0581,OSLO,OSLO,Norge,NO,True,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811573272,811573272,2026-09-18T10:30:27.941463+00:00
811573302,BARANSU AS,Aksjeselskap,AS,2013-02-16,2013-02-01,86.210,Allmennlegetjenester,,,,,Stiftamtmann Kaas' vei 8,0852,OSLO,OSLO,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811573302,811573302,2026-09-18T10:30:27.941466+00:00
811573582,BY1BIL AS,Aksjeselskap,AS,2013-02-16,2013-02-05,47.820,Detaljhandel med deler og utstyr til motorvogner,,www.by1bil.no,,,Håkvikveien 10,8521,ANKENES,NARVIK,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811573582,811573582,2026-09-18T10:30:27.941468+00:00
811576182,ENGLUND INVEST AS,Aksjeselskap,AS,2013-02-16,2012-11-15,64.323,Andre egeninvesteringsselskaper,,,martin@hybelutleie.net,,Sveabakken 14,7550,HOMMELVIK,MALVIK,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811576182,811576182,2026-09-18T10:30:27.941471+00:00
811576972,KOMÉT TRAFIKKSKOLE AS,Aksjeselskap,AS,2013-04-02,2013-02-06,85.531,Undervisning ved godkjente trafikkskoler,,,rune_andre87@hotmail.com,,Stillverksveien 16,2004,LILLESTRØM,LILLESTRØM,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811576972,811576972,2026-09-18T10:30:27.941473+00:00
811577022,ZIRQ CABLES AS,Aksjeselskap,AS,2013-02-16,2013-01-17,38.210,Materialgjenvinning,53,www.zirqsolutions.com,info@zirqsolutions.com,,"Linnestad Næringsområ, Ravneveien 11",3174,REVETAL,TØNSBERG,Norge,NO,False,False,Brønnøysundregistrene,https://data.brreg.no/enhetsregisteret/api/enheter/811577022,811577022,2026-09-18T10:30:27.941476+00:00
